SITENO,SITENAME,CATEGORY,AGENCY,LONGDD,LATDD,SITEURL
2310650,CHASSAHOWITZKA RIVER NEAR HOMOSASSA FL,ST,USGS,-82.5767656,28.71526419,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02310650
2307000,ROCKY CREEK NEAR SULPHUR SPRINGS FL,ST,USGS,-82.5759304,28.03696237,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02307000
2310288,PITHLACHASCOTEE R BL SUNCOAST PKWY NR FIVAY JCT FL,ST,USGS,-82.5728333,28.29488889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02310288
2307200,BROOKER CREEK AT VAN DYKE RD NEAR CITRUS PARK FL,ST,USGS,-82.5703748,28.12890323,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02307200
2306774,ROCKY CREEK AT ST HWY 587 AT CITRUS PARK FL,ST,USGS,-82.5658333,28.06583333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306774
2306950,BRUSHY CREEK NEAR CITRUS PARK FL,ST,USGS,-82.5553744,28.06501684,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306950
2310286,FIVEMILE CR BL SUNCOAST PKWY NR FIVAY JUNCTION FL,ST,USGS,-82.5537222,28.29413889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02310286
2309848,SOUTH BRANCH ANCLOTE RIVER NEAR ODESSA FL,ST,USGS,-82.5533611,28.18544444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02309848
2306647,SWEETWATER CREEK NEAR TAMPA FL,ST,USGS,-82.5450963,28.01390775,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306647
2299861,WALKER CREEK NEAR SARASOTA FL,ST,USGS,-82.5442639,27.3678222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299861
23066535,HENRY STREET CANAL AT BENJAMIN ROAD NEAR TAMPA FL,ST,USGS,-82.5417667,28.0000972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=023066535
2300082,FROG CREEK NEAR RUBONIA FL,ST,USGS,-82.5397222,27.58805556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300082
2310280,PITHLACHASCOTEE RIVER NEAR FIVAY JUNCTION FL,ST,USGS,-82.5367636,28.329172,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02310280
2306904,BRUSHY CREEK NEAR SULPHUR SPRINGS,ST,USGS,-82.525,28.0838611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306904
2300075,FROG CREEK AT BUFFALO ROAD NEAR RUBONIA FL,ST,USGS,-82.51338889,27.57991667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300075
2306500,SWEETWATER CREEK NEAR SULPHUR SPRINGS FL,ST,USGS,-82.5117623,28.04307328,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306500
2300042,WARD LAKE NEAR BRADENTON FL,LK,USGS,-82.4875958,27.44143074,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300042
2.80E+14,LAKE ECKLES NEAR CARROLLWOOD FL,LK,USGS,-82.4740111,28.053175,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=280311082282601
2299735,VENICE INLET AT CROW'S NEST MARINA AT VENICE FL,ES,USGS,-82.4655556,27.1122222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299735
2305851,CURIOSITY CREEK AT 122ND AVE NEAR SULPHUR SPGS. FL,ST,USGS,-82.4612055,28.05862836,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02305851
2306028,HILLSBOROUGH RIVER AT PLATT STREET AT TAMPA FL,ST,USGS,-82.4587057,27.94196627,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02306028
23060013,HILLSBOROUGH R. AT I-275 BRIDGE AT SULPHUR SPGS FL,ST,USGS,-82.4548166,28.0202967,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=023060013
2299730,DONNA BAY AT HIGHWAY 41 AT NOKOMIS FL,ES,USGS,-82.451425,27.11850278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299730
2299734,CURRY CREEK AT HIGHWAY 41 AT NOKOMIS FL,ST,USGS,-82.4474111,27.11271944,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299734
2304517,HILLSBOROUGH R BL HANNAHS WHIRL NR SULPHUR SPGS FL,ST,USGS,-82.4424056,28.0151611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02304517
2304510,HILLSBOROUGH RIVER AT ROWLETT PK DR NEAR TAMPA FL,ST,USGS,-82.4345385,28.02113015,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02304510
2299727,SHAKETT CREEK NEAR NOKOMIS FL,ST,USGS,-82.4300958,27.14394246,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299727
2304500,HILLSBOROUGH RIVER NEAR TAMPA FL,ST,USGS,-82.4275939,28.02390784,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02304500
2300033,BRADEN RIV AT LAKEWOOD RANCH NR LORRAINE FL,ST,USGS,-82.4261111,27.42055556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300033
2303800,CYPRESS CREEK NEAR SULPHUR SPRINGS FL,ST,USGS,-82.4091667,28.08888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303800
2303420,"CYPRESS CREEK AT SR 54 AT WORTHINGTON GARDENS, FL",ST,USGS,-82.4022222,28.1872222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303420
2300017,GAMBLE CREEK AT COUNTY ROAD 675 NEAR PARRISH FL,ST,USGS,-82.39738889,27.57577778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300017
2300018,GAMBLE CREEK NEAR PARRISH FL,ST,USGS,-82.3895379,27.55337054,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300018
2303424,CYPRESS CR AT COUNTY LINE RD AT WESLEY CHAPEL FL,ST,USGS,-82.3886111,28.17130556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303424
2303410,CYPRESS CREEK TRIBUTARY NR WESLEY CHAPEL FL,ST,USGS,-82.3861111,28.2593611,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303410
2301721,ALAFIA RIVER AT GIBSONTON FL,ST,USGS,-82.3842598,27.85974739,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301721
2303400,CYPRESS CREEK NEAR SAN ANTONIO FL,ST,USGS,-82.3836111,28.32388889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303400
2301745,DELANEY CREEK POPOFF CANAL NEAR TAMPA FL,ST,USGS,-82.3770375,27.902246,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301745
2301793,EAST LAKE OUTFALL AT E. CHELSEA ST. NEAR TAMPA FL,ST,USGS,-82.37175969,27.985021,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301793
2301738,ARCHIE CREEK AT 78TH STREET NEAR TAMPA FL,ST,USGS,-82.3706484,27.88002457,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301738
23000095,MANATEE RIVER AT RYE FL,ST,USGS,-82.3670375,27.51364999,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=023000095
2301750,DELANEY CREEK NEAR TAMPA FL,ST,USGS,-82.3642595,27.9258564,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301750
2304000,HILLSBOROUGH R AT FOWLER AV NEAR TEMPLE TERRACE FL,ST,USGS,-82.3637032,28.05446224,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02304000
2303348,TROUT CREEK AT WESLEY CHAPEL FL,ST,USGS,-82.3622222,28.17133333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303348
2303350,TROUT CREEK NEAR SULPHUR SPRINGS FL,ST,USGS,-82.3619444,28.1347222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303350
2298880,MYAKKA RIVER AT CONTROL NEAR LAUREL FL,ST,USGS,-82.3556494,27.1856073,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298880
2300500,"LITTLE MANATEE RIVER AT US 301 NEAR WIMAUMA, FL",ST,USGS,-82.3525925,27.67114344,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300500
2300700,BULLFROG CREEK NEAR WIMAUMA FL,ST,USGS,-82.3520369,27.79197208,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300700
2301740,NORTH ARCHIE CREEK AT PROGRESS BLVD. NEAR TAMPA FL,ST,USGS,-82.3498147,27.8966908,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301740
2303346,TROUT CREEK AT MYSTIC OAK BLVD AT WESLEY CHAPEL FL,ST,USGS,-82.3475528,28.20989167,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303346
2300703,BULLFROG CREEK NEAR RIVERVIEW FL,ST,USGS,-82.3462035,27.83502623,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300703
2298760,HOWARD CREEK NEAR SARASOTA FL,ST,USGS,-82.3400929,27.28838098,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298760
2301718,"ALAFIA RIVER NEAR US 301 AT RIVERVIEW, FL",ST,USGS,-82.3198141,27.86780308,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301718
2298830,"MYAKKA RIVER NEAR SR 72 NEAR SARASOTA, FL",ST,USGS,-82.3137035,27.240605,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298830
2303330,HILLSBOROUGH R AT MORRIS BR NEAR THONOTOSASSA FL,ST,USGS,-82.31138889,28.0986111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303330
2300300,SOUTH FORK LITTLE MANATEE RIVER NEAR WIMAUMA FL,ST,USGS,-82.294258,27.6494778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300300
2299230,MYAKKA RIVER AT NORTH PORT CHARLOTTE FL,ST,USGS,-82.2930655,27.04519625,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299230
2.76E+14,BROWN POND NEAR BRANDON FL,LK,USGS,-82.28888889,27.94888889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=275656082172000
2301638,ALAFIA RIVER AT BELL SHOALS NEAR RIVERVIEW FL,ST,USGS,-82.2737021,27.85891477,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301638
2312558,"WITHLACOOCHEE RIVER AT NOBLETON, FL",ST,USGS,-82.25703368,28.644436,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312558
2303205,BAKER CREEK AT MCINTOSH ROAD NEAR ANTIOCH FL,ST,USGS,-82.2453678,28.02835317,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303205
2312598,"WITHLACOOCHEE RIVER NR PINEOLA, FL",ST,USGS,-82.2423118,28.7241557,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312598
2.74E+14,"Carlton Lk near Wimauma, FL",LK,USGS,-82.2405556,27.71291667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=274246082142600
2299484,BIG SLOUGH AT WCS-101 AT NORTH PORT FL,ST,USGS,-82.2378698,27.04700165,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299484
2299482,COCOPLUM WATERWAY AT NORTH PORT FL,ST,USGS,-82.2353333,27.0456111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299482
2303000,"HILLSBOROUGH RV AT STATE PARK NR ZEPHYRHILLS, FL",ST,USGS,-82.23175318,28.15029044,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02303000
2312500,"WITHLACOOCHEE RIVER AT CROOM, FL",ST,USGS,-82.222032,28.5927714,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312500
2299472,BIG SLOUGH AT WEST PRICE BLVD NEAR NORTH PORT FL,ST,USGS,-82.2203333,27.06933333,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299472
2312600,"WITHLACOOCHEE RIVER NEAR FLORAL CITY, FL",ST,USGS,-82.2200892,28.74359973,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312600
2299950,"MANATEE RIVER AT SR 64 NEAR MYAKKA HEAD, FL",ST,USGS,-82.211201,27.47365137,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299950
2300210,SOUTH FORK LITTLE MANATEE RIVER NEAR PARRISH FL,ST,USGS,-82.2112009,27.60197978,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300210
2301500,"ALAFIA RIVER AT LITHIA PINECREST RD AT LITHIA, FL",ST,USGS,-82.2112008,27.872248,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301500
2312300,WITHLACOOCHEE RIVER AT RITAL FL,ST,USGS,-82.209253,28.5211073,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312300
2299450,BIG SLOUGH AT TROPICAIRE BLVD NEAR NORTH PORT FL,ST,USGS,-82.2048417,27.11163889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299450
2300100,LITTLE MANATEE RIVER NEAR FT. LONESOME FL,ST,USGS,-82.1978672,27.70475366,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300100
2302010,HILLSBOROUGH R BL CRYSTAL SPR NEAR ZEPHYRHILLS FL,ST,USGS,-82.1891667,28.1786111,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02302010
2301990,HILLSBOROUGH R AB CRYSTAL SPR NEAR ZEPHYRHILLS FL,ST,USGS,-82.1841667,28.18555556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301990
2300200,SOUTH FORK LITTLE MANATEE RIVER NEAR DUETTE FL,ST,USGS,-82.1823115,27.5905913,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300200
2298527,OGLEBY CK DNSTR FROM BOGGY CK NEAR MYAKKA CITY FL,ST,USGS,-82.181756,27.40365397,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298527
2311700,"DADE CITY CANAL NEAR DADE CITY, FL",ST,USGS,-82.1798065,28.38222437,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02311700
2312000,"WITHLACOOCHEE RIVER AT US 301 AT TRILBY, FL",ST,USGS,-82.17758499,28.4799981,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312000
2298530,COKER CREEK NEAR MYAKKA CITY FL,ST,USGS,-82.1750893,27.4097648,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298530
2312645,"JUMPER CREEK CANAL NEAR WAHOO, FL",ST,USGS,-82.1570313,28.70443503,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312645
2298608,MYAKKA RIVER AT MYAKKA CITY FL,ST,USGS,-82.1567556,27.3436562,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298608
2312200,"LITTLE WITHLACOOCHEE RIVER AT RERDELL, FL",ST,USGS,-82.155363,28.57277286,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312200
2302500,BLACKWATER CREEK NEAR KNIGHTS FL,ST,USGS,-82.15,28.1397222,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02302500
2298554,MYAKKA RIVER NEAR MYAKKA CITY FL,ST,USGS,-82.1492555,27.3661553,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298554
2299410,BIG SLOUGH CANAL NEAR MYAKKA CITY FL,ST,USGS,-82.1442558,27.1933843,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02299410
2298494,FLATFORD SWAMP NR MYAKKA RIVER NR MYAKKA CITY FL,WE,USGS,-82.14231089,27.393932,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298494
2298488,MYAKKA RIVER UPST FROM YOUNGS CK NR MYAKKA CITY FL,ST,USGS,-82.1386997,27.4292084,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298488
2298495,MAPLE CREEK NEAR MYAKKA CITY FL,ST,USGS,-82.1298107,27.38448789,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298495
2298492,LONG CREEK NEAR MYAKKA CITY FL,ST,USGS,-82.1264772,27.4094869,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298492
2311500,"WITHLACOOCHEE RIVER NEAR DADE CITY, FL",ST,USGS,-82.12591619,28.3525042,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02311500
2301300,SOUTH PRONG ALAFIA RIVER NEAR LITHIA FL,ST,USGS,-82.1175877,27.79669525,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301300
2312640,"JUMPER CREEK CANAL NEAR BUSHNELL, FL",ST,USGS,-82.1039741,28.6972136,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312640
2301000,NORTH PRONG ALAFIA RIVER AT KEYSVILLE FL,ST,USGS,-82.10008689,27.8839148,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301000
2311000,"WITHLACOOCHEE-HILLSBOROUGH OVFLO NEAR RICHLAND, FL",ST,USGS,-82.0978598,28.27139707,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02311000
2301150,SOUTH PRONG ALAFIA RIVER NEAR FT LONESOME FL,ST,USGS,-82.0742778,27.72930556,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301150
2302260,ITCHEPAKESASSA CREEK AT S-582 NEAR KNIGHTS FL,ST,USGS,-82.0730556,28.08027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02302260
2310947,"WITHLACOOCHEE RIVER NEAR CUMPRESSCO, FL",ST,USGS,-82.05591468,28.31195156,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02310947
2312180,"LITTLE WITHLACOOCHEE RIVER NEAR TARRYTOWN, FL",ST,USGS,-82.0548037,28.5216647,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312180
2300995,THIRTYMILE CREEK NEAR NICHOLS FL,ST,USGS,-82.0486968,27.8800263,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300995
2297155,HORSE CREEK NEAR MYAKKA HEAD FL,ST,USGS,-82.0234197,27.4872613,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297155
2301900,"FOX BRANCH NEAR SOCRUM, FL",ST,USGS,-82.0125,28.18194444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02301900
2300882,NORTH PRONG ALAFIA RIVER NEAR NICHOLS FL,ST,USGS,-82.01175129,27.89030394,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02300882
2297350,PEACE RIVER NR PEACE RIVER HEIGHTS NR FT. OGDEN FL,ST,USGS,-82.00730919,27.07755529,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297350
2293210,"CALOOSAHATCHEE RIVER AT SHELL POINT NEAR IONA, FL",ST,USGS,-82.0050806,26.52371389,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02293210
2297345,PEACE RIVER AT PLATT FL,ST,USGS,-81.9994444,27.08666667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297345
2297460,PEACE RIVER AT HARBOUR HEIGHTS FL,ST,USGS,-81.9942538,26.98755887,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297460
2297310,"HORSE CREEK AT SR 72 NEAR ARCADIA, FL",ST,USGS,-81.9884193,27.19949477,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297310
2297251,HORSE CREEK NEAR LIMESTONE FL,ST,USGS,-81.9734188,27.36643259,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297251
2297320,HORSE CREEK NEAR NOCATEE FL,ST,USGS,-81.965919,27.15894077,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297320
2298202,SHELL CREEK NEAR PUNTA GORDA FL,ST,USGS,-81.9356414,26.98478094,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298202
2.63E+14,CALOOSAHATCHEE RIVER AT MARKER 70 NEAR FT MYERS FL,ST,USGS,-81.9312444,26.55756667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263329081555000
2293262,GATOR SLOUGH WEST OF US-41 NEAR FT. MYERS FL,ST,USGS,-81.9209444,26.74202778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02293262
2312140,"BAYROOT SLOUGH HEADWATERS NEAR BAYLAKE, FL",ST,USGS,-81.9203563,28.45666896,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02312140
2294261,LAKE PARKER OUTLET AT COMBEE SETTLEMENT FL,ST,USGS,-81.90215,28.0573472,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02294261
2.64E+14,CALOOSAHATCHEE R AT MARKER 61 NEAR FT MYERS FL,ST,USGS,-81.8997944,26.60440833,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263603081540400
2298170,PRAIRIE CREEK ON CR 764 NEAR PUNTA GORDA FL,ST,USGS,-81.8947222,26.99027778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02298170
2294405,"BANANA-HANCOCK CANAL NR HIGHLAND CITY, FL",ST,USGS,-81.8934151,27.98280097,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02294405
2293230,"WHISKEY CREEK AT FT. MYERS, FL",ST,USGS,-81.89188889,26.57488889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02293230
2297635,SHELL CREEK ON CR 764 NEAR PUNTA GORDA FL,ST,USGS,-81.8875,26.975,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297635
2237050,"PALATLAKAHA RIVER AT S M-5 NEAR OKAHUMPKA, FL",ST,USGS,-81.8845239,28.67888315,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237050
2237051,"PALATLAKAHA R BELOW STRUCTURE M-5 NR OKAHUMPKA, FL",ST,USGS,-81.88452388,28.67943868,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237051
2237206,"PALATLAKAHA R AT STRUCTURE M-4 NR OKAHUMPKA, FL",ST,USGS,-81.8842464,28.71499294,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237206
2237207,"PALATLAKAHA R BELOW STRUCTURE M-4 NR OKAHUMPKA, FL",ST,USGS,-81.8839687,28.71582624,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237207
2.64E+14,CALOOSAHATCHEE R AT MARKER 52 NEAR FT MYERS FL,ST,USGS,-81.8820278,26.64151667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263829081525800
2297100,JOSHUA CREEK AT NOCATEE FL,ST,USGS,-81.8795282,27.16671794,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297100
2296750,"PEACE RIVER AT SR 70 AT ARCADIA, FL",ST,USGS,-81.8761946,27.22088245,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02296750
2294217,SADDLE CREEK AT ST.HWY 542 NEAR LAKELAND FL,ST,USGS,-81.876192,28.04418733,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02294217
2.64E+14,POWELL CREEK AT SUNRISE DRIVE NR NORTH FT MYERS FL,ST,USGS,-81.8737861,26.66893889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264009081522700
2237293,"PALATLAKAHA R AT STRUCTURE M-1, NR OKAHUMPKA, FL",ST,USGS,-81.8725798,28.7444364,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237293
2237010,"PALATLAKAHA R AT STRUCTURE M-6 NR MASCOTTE, FL",ST,USGS,-81.87230109,28.643329,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237010
2237011,"PALATLAKAHA R BELOW STRUCTURE M-6 NR MASCOTTE, FL",ST,USGS,-81.87230109,28.6441623,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237011
2293202,CALOOSAHATCHEE RIVER AT FORT MYERS FL,ST,USGS,-81.8689416,26.65106089,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02293202
2237001,"PALATLAKAHA RIVER BELOW SPWY, NEAR MASCOTTE, FL",ST,USGS,-81.8659118,28.61610787,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237001
2237000,"PALATLAKAHA RIVER NEAR MASCOTTE, FL",ST,USGS,-81.8645229,28.6158301,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237000
2297088,HAWTHORN CREEK AT CR760-A NEAR NOCATEE FL,ST,USGS,-81.8584167,27.15088516,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297088
2.64E+14,BILLY CREEK AT 1ST AT FT MYERS FL,ST,USGS,-81.8570556,26.6521972,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=263904081512500
2291673,"TENMILE CANAL AT CONTROL NEAR ESTERO, FL",ST,USGS,-81.8544167,26.50688889,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02291673
2291669,"SIXMILE CYPRESS CREEK NEAR FORT MYERS,  FL",ST,USGS,-81.8544167,26.52202778,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02291669
2291710,"BRIARCLIFF DITCH AT MOUTH NEAR ESTERO,FL",ST,USGS,-81.8527778,26.50641667,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02291710
2294290,SADDLE CREEK AT STATE HWY 570 NEAR EATON PARK FL,ST,USGS,-81.8520254,28.0044668,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02294290
2.64E+14,CALOOSAHATCHEE R AT MARKER 32 NEAR FT MYERS FL,ST,USGS,-81.8436278,26.67435278,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264027081504000
2237370,"CHURCH LAKE NEAR GROVELAND, FL",LK,USGS,-81.83757819,28.6455515,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02237370
2.64E+14,DAUGHTERY CR AT CLUBHOUSE RD NR NORTH FT MYERS FL,ST,USGS,-81.8293556,26.694975,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=264140081494600
2297600,SHELL CREEK AT CIRCLE K GROVES NEAR FT OGDEN FL,ST,USGS,-81.8266361,26.96734444,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02297600
2295420,PAYNE CREEK NEAR BOWLING GREEN FL,ST,USGS,-81.8256384,27.62059006,https://waterdata.usgs.gov/nwis/inventory?agency_code=USGS&site_no=02295420
